instance name,number of vertices,average time [ns],average error [%]
burma14.tsp,14,10377839.0,0.0
gr17.tsp,17,22539560.0,0.0
gr21.tsp,21,32256362.0,0.0
gr24.tsp,24,48533984.0,0.0
bays29.tsp,29,60001458814.0,0.3
ftv33.atsp,34,60002595652.0,6.07
ftv44.atsp,45,60002164535.0,6.26
ft53.atsp,53,60002945442.0,1.39
ftv70.atsp,71,291456814.0,47.18
ch150.tsp,150,2401079275.0,49.95
ftv170.atsp,171,5810093113.0,49.29
gr202.tsp,202,4372751146.0,49.83
rbg323.atsp,323,10292773376.0,49.77
pcb442.tsp,442,29633749597.0,149.93
rbg443.atsp,443,1065630005.0,149.89
gr666.tsp,666,60052526113.0,293.52
pr1002.tsp,1002,60047460897.0,1018.89
pr2392.tsp,2392,60021284179.0,3267.92
